#MacroFab, INC. XYRS data for D:/Dropbox/Eagle/Projects/U01/NN2022/IMU/NN22_IMU_Adapter00_s00.brd.
#Board Size is 2500.000000 x 1300.000000.
#
#Placement Data:
#Designator	X-Loc	Y-Loc	Rotation	Side	Type	X-Size	Y-Size	Value	Footprint	Populate	MPN
J1	250.00	650.00	0	1	1	270.00	630.00	M13X2_0.050_SHF	M13X2_0.050_SHF	1	
J2	2313.86	650.00	90	1	1	1194.88	299.21	M20X2_HARFLEX_M	M20X2_HARFLEX_M	1	
J3	875.00	1000.00	270	1	2	27.56	177.56	M04X1_PTH_0.050	M04X1_0.050_PTH	1	
J4	820.00	290.00	90	1	1	232.00	180.00	M04X2_0.050_SMD_NO_CREAM	M04X2_0.050_SMD_NO_CREAM	1	
J5	1590.00	990.00	180	1	1	130.00	180.00	M03X1_0.050_SMD_NO_CREAM	M03X1_0.050_SMD_NO_CREAM	1	
J6	1770.00	211.67	0	1	2	322.83	164.37	USB-MICRO	USB-MICRO	1	
LED1	2050.00	860.00	0	1	1	31.50	90.55		LED-0603	1	
LED2	2105.00	860.00	0	1	1	31.50	90.55		LED-0603	1	
R1	2040.00	750.00	270	1	1	62.99	23.62	1.2k	0402-RES	1	
R2	2080.00	750.00	270	1	1	62.99	23.62	1.2k	0402-RES	1	
R3	1400.00	880.00	0	1	1	62.99	23.62	10	0402-RES	1	
R4	1400.00	780.00	180	1	1	62.99	23.62	10	0402-RES	1	
R5	1400.00	830.00	0	1	1	62.99	23.62	10	0402-RES	1	
R6	1400.00	730.00	180	1	1	62.99	23.62	10	0402-RES	1	
R7	1400.00	630.00	0	1	1	62.99	23.62	10	0402-RES	1	
R8	1400.00	680.00	180	1	1	62.99	23.62	10	0402-RES	1	
R9	1400.00	580.00	0	1	1	62.99	23.62	10	0402-RES	1	
R10	1400.00	530.00	180	1	1	62.99	23.62	1.2k	0402-RES	1	
R11	1290.00	165.00	180	1	1	82.68	35.43	DNP	0603-RES	1	
R12	1285.00	1040.00	90	1	1	62.99	23.62	100k	0402-RES	1	
R13	1290.00	100.00	180	1	1	82.68	35.43	DNP	0603-RES	1	
R14	1290.00	230.00	180	1	1	82.68	35.43	DNP	0603-RES	1	
R15	1545.00	500.00	90	1	1	62.99	23.62	100k	0402-RES	1	
R16	2060.00	370.00	180	1	1	62.99	23.62	1.2k	0402-RES	1	
R17	2060.00	410.00	0	1	1	62.99	23.62	100k	0402-RES	1	
R18	2120.00	750.00	270	1	1	62.99	23.62	100k	0402-RES	1	
R19	1375.00	1040.00	90	1	1	62.99	23.62	100k	0402-RES	1	
R20	1330.00	1040.00	90	1	1	62.99	23.62	82k	0402-RES	1	
R21	1772.00	426.00	270	1	1	62.99	23.62	27	0402-RES	1	
R22	1735.00	426.00	270	1	1	62.99	23.62	27	0402-RES	1	
R23	1640.00	410.00	90	1	1	62.99	23.62	33	0402-RES	1	
R24	1720.00	950.00	90	1	1	62.99	23.62	1.2k	0402-RES	1	
S1	2060.00	220.00	90	1	1	196.85	102.36	SWITCH-MOMENTARY-2SMD-3	TACTILE_SWITCH_SMD-3	1	
TP1	1760.00	1180.00	0	1	1	40.00	40.00	TESTPOINT_ROUND	TESTPAD_ROUND	1	
TP2	1570.00	1180.00	0	1	1	40.00	40.00	TESTPOINT_ROUND	TESTPAD_ROUND	1	
TP3	470.00	1180.00	0	1	1	40.00	40.00	TESTPOINT_ROUND	TESTPAD_ROUND	1	
TP4	1745.00	855.00	135	1	1	40.00	20.00	TESTPOINTPADSMALL	TESTPAD_SMALL	1	
TP5	1480.00	270.00	0	1	2	43.31	43.31	TESTPOINT1X01	1X01	1	
U1	1800.00	650.00	180	1	1	305.12	305.12	RP2040	QFN-56_EP	1	
U2	2010.00	1145.00	180	2	1	143.70	70.87	MCP1755_DFN	DFN8_2X3MM	1	
U3	1890.00	390.00	180	1	1	143.70	70.87	W25Q_USON	USON8L-2X3MM	1	
U4	1340.00	1160.00	180	1	1	149.61	96.46	AP2265X_SOT	SOT23-6	1	
X1	1810.00	970.00	270	1	1	141.73	114.17	CRYSTAL-3.2-2.5	CRYSTAL-3.2-2.5	1	
